# BEGIN DATA
Process=pp -> e~vj + ev~j
Proc=evj
Sqrt=13 TeV
Timestamp=2017-02-09 19:24:42
# END DATA

# BEGIN HISTO1D evj_pTV_LO
# xlow   xhigh   val   errminus  errplus
5.500000e+02 6.000000e+02 -5.346318e-04 8.800875e-04 8.800875e-04
6.000000e+02 6.500000e+02 -4.644252e-03 9.259098e-04 9.259098e-04
6.500000e+02 7.000000e+02 -2.697870e-03 1.053119e-03 1.053119e-03
7.000000e+02 7.500000e+02 -4.913441e-03 1.191135e-03 1.191135e-03
7.500000e+02 8.000000e+02 -4.661565e-03 1.225021e-03 1.225021e-03
8.000000e+02 8.500000e+02 -6.006781e-03 1.361233e-03 1.361233e-03
8.500000e+02 9.000000e+02 -7.342394e-03 1.522038e-03 1.522038e-03
9.000000e+02 9.500000e+02 -6.669081e-03 1.620355e-03 1.620355e-03
9.500000e+02 1.000000e+03 -4.653200e-03 1.826258e-03 1.826258e-03
1.000000e+03 1.100000e+03 -6.917627e-03 1.109154e-03 1.109154e-03
1.100000e+03 1.200000e+03 -5.373760e-03 1.321647e-03 1.321647e-03
1.200000e+03 1.300000e+03 -3.283737e-03 1.524751e-03 1.524751e-03
1.300000e+03 1.400000e+03 -6.564124e-03 1.788988e-03 1.788988e-03
1.400000e+03 1.600000e+03 -8.716797e-04 1.211664e-03 1.211664e-03
1.600000e+03 1.800000e+03 3.416303e-03 1.632019e-03 1.632019e-03
1.800000e+03 2.000000e+03 8.952667e-03 2.213224e-03 2.213224e-03
2.000000e+03 2.200000e+03 2.121989e-02 3.039759e-03 3.039759e-03
